Molecule,SHCI_De,ZPE,SR_SO,CV,Expt,SHCI_D0,SHCI_Deviation,SHCI_PBE_D0,SHCI_PBE_Deviation
LiH,57.71,-1.99,-0.02,0.30,55.70,56.00,0.30,56.02,0.32
BeH,50.23,-2.92,-0.02,0.51,47.70,47.80,0.10,47.80,0.10
CH,84.11,-4.04,-0.08,0.14,79.97,80.13,0.16,80.16,0.19
CH2(3B1),190.01,-10.55,-0.23,0.82,179.83,180.05,0.22,179.95,0.12
CH2(1A1),181.12,-10.29,-0.17,0.39,170.83,171.05,0.22,171.10,0.27
CH3,306.93,-18.55,-0.25,1.07,289.11,289.20,0.09,289.18,0.07
CH4,419.25,-27.74,-0.27,1.26,392.47,392.50,0.03,392.56,0.09
NH,83.09,-4.64,-0.07,0.11,78.36,78.49,0.13,78.55,0.19
NH2,182.50,-11.84,0.08,0.32,170.59,171.06,0.47,171.10,0.51
NH3,297.91,-21.35,-0.25,0.65,276.59,276.98,0.39,276.97,0.38
OH,107.26,-5.29,-0.24,0.14,101.73,101.87,0.14,101.81,0.08
H2O,233.01,-13.26,-0.49,0.38,219.37,219.64,0.27,219.51,0.14
HF,141.76,-5.86,-0.58,0.17,135.27,135.49,0.22,135.37,0.10
SiH2(1A1),153.90,-7.30,-0.60,0.00,144.10,146.00,1.90,146.05,1.95
SiH2(3B1),133.31,-7.50,-0.80,-0.50,123.40,124.51,1.11,124.42,1.02
SiH3,228.22,-13.20,-0.80,-0.20,212.20,214.02,1.82,214.02,1.82
SiH4,324.80,-19.40,-1.00,-0.20,302.60,304.20,1.60,304.27,1.67
PH2,154.24,-8.40,-0.20,0.30,144.70,145.94,1.24,145.96,1.26
PH3,241.91,-14.44,-0.44,0.33,227.10,227.36,0.26,227.36,0.26
H2S,183.63,-9.40,-0.93,0.24,173.20,173.54,0.34,173.41,0.21
HCl,107.41,-4.24,-1.00,0.30,102.21,102.47,0.26,102.30,0.09
Li2,24.14,-0.50,0.00,0.20,23.90,23.84,-0.06,23.84,-0.06
LiF,138.15,-1.30,-0.60,0.90,137.60,137.15,-0.45,137.34,-0.26
C2H2,403.16,-16.50,-0.46,2.47,388.64,388.67,0.03,388.84,0.20
C2H4,561.72,-31.66,-0.50,2.36,532.04,531.92,-0.12,532.09,0.05
C2H6,711.36,-46.23,-0.56,2.42,666.19,666.99,0.80,666.97,0.78
CN,180.24,-2.95,-0.24,1.10,178.12,178.15,0.03,178.58,0.46
HCN,311.91,-9.95,-0.31,1.67,303.14,303.32,0.18,303.76,0.62
CO,258.61,-3.09,-0.46,0.95,256.23,256.01,-0.22,256.47,0.24
HCO,278.10,-8.09,-0.59,1.16,270.76,270.58,-0.18,270.92,0.16
H2CO,373.42,-16.52,-0.65,1.30,357.48,357.55,0.07,357.88,0.40
H3COH,512.44,-31.72,-0.80,1.50,480.97,481.42,0.45,481.52,0.55
N2,227.66,-3.36,-0.14,0.80,224.94,224.96,0.02,225.62,0.68
N2H4,438.61,-32.68,-0.51,1.14,404.81,406.56,1.75,406.60,1.79
NO,152.33,-2.71,-0.23,0.42,149.81,149.81,0.00,150.23,0.42
O2,120.50,-2.25,-0.62,0.24,117.99,117.87,-0.12,117.95,-0.04
H2O2,269.21,-16.44,-0.82,0.36,252.21,252.31,0.10,252.33,0.12
F2,39.09,-1.30,-0.79,-0.11,36.93,36.89,-0.04,36.93,0.00
CO2,388.19,-7.24,-1.01,1.77,381.98,381.71,-0.27,382.46,0.48
Na2,16.74,-0.20,0.00,0.30,17.00,16.84,-0.16,16.85,-0.15
Si2,76.66,-0.73,-1.01,0.13,74.40,75.05,0.65,75.03,0.63
P2,116.66,-1.11,-0.25,0.77,116.00,116.07,0.07,116.29,0.29
S2,103.95,-1.04,-1.40,0.34,100.80,101.85,1.05,101.51,0.71
Cl2,59.92,-0.80,-1.82,-0.13,57.18,57.17,-0.01,56.75,-0.43
NaCl,100.03,-0.50,-1.10,-1.20,97.40,97.23,-0.17,96.85,-0.55
SiO,192.01,-1.78,-0.90,0.95,189.80,190.28,0.48,190.53,0.73
CS,171.55,-1.83,-0.80,0.75,170.40,169.67,-0.73,169.67,-0.73
SO,126.15,-1.63,-1.09,0.41,123.50,123.84,0.34,123.67,0.17
ClO,65.58,-1.22,-0.81,0.06,63.42,63.61,0.19,63.07,-0.35
ClF,62.95,-1.12,-1.39,-0.10,60.35,60.34,-0.01,59.99,-0.36
Si2H6,535.40,-30.50,-2.00,0.00,500.10,502.90,2.80,503.34,3.24
CH3Cl,395.06,-23.19,-1.40,1.20,371.35,371.67,0.32,371.53,0.18
H3CSH,474.48,-28.60,-1.20,1.50,445.10,446.18,1.08,445.91,0.81
HOCl,166.62,-8.18,-1.50,0.40,156.88,157.34,0.46,156.93,0.05
SO2,260.36,-4.38,-1.79,0.92,254.46,255.11,0.65,255.00,0.54
